prop_1,prop_2,prop_3,prop_4,prop_5,prop_6,prop_7,prop_8,C1,C2,urban,developed,nature,name,city,size,color,is_region,annotation
0,0.153145594,0.043155295,0.003947118,0.043169295,0.001303039,0.73632009,0.018959569,0.861991436,-0.498436096,0.066061982,0.802382071,0.197617929,aachen_1.tif,aachen,2,10,1,
0,0.086279,0.034137,0.016745,0.08344,0.000205,0.762874,0.01632,0.902913922,-0.511000686,0.067202,0.830076,0.169924,aachen_10.tif,aachen,2,10,1,
0,0.180112844,0.008481322,0.013478512,0.064002432,0.001274048,0.724616535,0.008034305,0.878137469,-0.436993095,0.02999414,0.754610675,0.245389325,aachen_11.tif,aachen,2,10,1,
0,0.28139607,0.117118856,0.06780139,0.330499525,4.80E-05,0.006892345,0.196243812,-0.079123405,0.20039604,0.381164058,0.388056403,0.611943597,aachen_12.tif,aachen,2,10,1,
0,0.20528,0.16872,0.05976,0.257167,0.001037,0.1958,0.112236,0.157982242,-0.038508611,0.340716,0.536516,0.463484,aachen_13.tif,aachen,2,10,1,
0,0.310166,0.116562,0.058015,0.170009,0.000194,0.221695,0.123359,0.164258671,-0.035500754,0.297936,0.519631,0.480369,aachen_14.tif,aachen,2,10,1,
0,0.122711,0.101581,0.05869,0.396036,0.005093,0.241297,0.074592,0.436067531,0.088258294,0.234863,0.47616,0.52384,aachen_15.tif,aachen,2,10,1,
0,0.315833,0.141054,0.092354,0.294005,0.000546,0,0.156208,-0.078267778,0.230061302,0.389616,0.389616,0.610384,aachen_16.tif,aachen,2,10,1,
0,0.202631,0.154983,0.05214,0.315025,0,0.106253,0.168968,0.060448315,0.053520925,0.376091,0.482344,0.517656,aachen_18.tif,aachen,2,10,1,
0,0.314631,0.192997,0.126049,0.107687,0,0,0.258636,-0.269565105,0.035294392,0.577682,0.577682,0.422318,aachen_19.tif,aachen,2,10,1,
0,0.158666,0.013897,0.012695,0.130779,0.003809,0.658457,0.021697,0.825639858,-0.358067324,0.048289,0.706746,0.293254,aachen_2.tif,aachen,2,10,1,
0,0.241708943,0.152229632,0.066588464,0.22405429,0,0.155475753,0.159942918,0.080139649,0.018672302,0.378761014,0.534236767,0.465763233,aachen_21.tif,aachen,2,10,1,
0,0.223002645,0.049149652,0.043575011,0.110587718,0.000163019,0.445963286,0.127558669,0.472091864,-0.237181369,0.220283333,0.666246618,0.333753382,aachen_22.tif,aachen,2,10,1,
0,0.187697,0.007868,0.015493,0.242069,0.005334,0.525057,0.016482,0.691257033,-0.114396091,0.039843,0.5649,0.4351,aachen_24.tif,aachen,2,10,1,
0,0.028249565,0.280420608,0.108889178,0.032433649,0,0,0.550007,-0.521267561,-0.419826398,0.939316786,0.939316786,0.060683214,aachen_26.tif,aachen,2,10,1,
0,0.193054182,0.124762104,0.057848148,0.156001884,0.002241199,0.313345888,0.152746594,0.314333252,-0.207759652,0.335356847,0.648702735,0.351297265,aachen_27.tif,aachen,2,10,1,
0,0.011825,0.035939,0,3.30E-05,0,0.944884,0.007319,1.09330703,-0.698852173,0.043258,0.988142,0.011858,aachen_28.tif,aachen,2,10,1,
0,0.262014853,0.075521216,0,0.537754107,0,0.120758133,0.003951692,0.34252502,0.335213999,0.079472908,0.20023104,0.79976896,aachen_29.tif,aachen,2,10,1,
0,0.347992,0.153101,0.079002,0.242075,0.0003,0,0.17753,-0.135947012,0.203707979,0.409633,0.409633,0.590367,aachen_30.tif,aachen,2,10,1,
0,0.282933,0.248135,0.107121,0.105547,6.20E-05,0,0.256202,-0.293740705,-5.07E-06,0.611458,0.611458,0.388542,aachen_31.tif,aachen,2,10,1,
0,0.051712,0.19649,0.102689,0.079745,0,0,0.569364,-0.539302018,-0.249720045,0.868543,0.868543,0.131457,aachen_32.tif,aachen,2,10,1,
0,0.169965,0.338884,0.108285,0.058721,0.000322,0,0.323823,-0.364233923,-0.256997311,0.770992,0.770992,0.229008,aachen_33.tif,aachen,2,10,1,
0,0.360695888,0.044192049,0.040448791,0.26116502,0.000815056,0.203717056,0.088966139,0.264059169,0.139432961,0.173606979,0.377324035,0.622675965,aachen_35.tif,aachen,2,10,1,
0,0.14545,0.036675,0.017975,0.080328,0.009103,0.687084,0.023385,0.816175827,-0.430165589,0.078035,0.765119,0.234881,aachen_36.tif,aachen,2,10,1,
0,0.108121,0.115651,0.048907,0.120783,0,0.504418,0.10212,0.500120171,-0.397654078,0.266678,0.771096,0.228904,aachen_37.tif,aachen,2,10,1,
0,0.109199547,0.264332315,0.080020324,0.120268528,0,0,0.426179286,-0.404940793,-0.227765139,0.770531925,0.770531925,0.229468075,aachen_39.tif,aachen,2,10,1,
